filename,classname,alpha0,alpha1,alpha2,alpha3,alpha4,alpha5,a0,a1,a2,a3,a4,a5,d1,d2,d3,d4,d5,d6,th1,th2,th3,th4,th5,th6,parallel_234
Omron_TM5_700.py,Omron_TM5_700,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,329.0,311.0,0.0,0.0,145.2,0.0,0.0,122.3,106.5,114.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Omron_TM5_900.py,Omron_TM5_900,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,429.0,411.0,0.0,0.0,145.2,0.0,0.0,122.3,106.5,114.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Omron_TM5X_700.py,Omron_TM5X_700,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,329.0,311.0,0.0,0.0,145.2,0.0,0.0,122.3,106.5,114.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
Omron_TM5X_900.py,Omron_TM5X_900,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,429.0,411.0,0.0,0.0,145.2,0.0,0.0,122.3,106.5,114.15,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
RB10_1300.py,RB10_1300,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,612.7,570.15,0.0,0.0,197.0,0.0,0.0,156.25,117.15,115.3,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
RB3_1200.py,RB3_1200,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,566.9,522.4,0.0,0.0,169.2,0.0,0.0,110.7,110.7,96.7,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
RB5_850.py,RB5_850,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,425.9,392.0,0.0,0.0,169.2,0.0,0.0,110.7,110.7,96.7,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
RB5_850A.py,RB5_850A,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,425.0,392.0,0.0,0.0,169.2,0.0,0.0,110.7,110.7,96.7,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,0.0,1
RoboDK_RDK_COBOT_1200.py,RoboDK_RDK_COBOT_1200,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,590.0,560.0,0.0,0.0,201.0,0.0,0.0,175.0,140.0,117.0,0.0,1.5707963267948966,0.0,-1.5707963267948966,0.0,-1.5707963267948966,1
Schneider_Electric_LXMRL03S0000.py,Schneider_Electric_LXMRL03S0000,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,246.0,228.0,0.0,0.0,150.55,0.0,0.0,-113.0,117.5,105.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,1
Schneider_Electric_LXMRL05S0000.py,Schneider_Electric_LXMRL05S0000,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,430.0,368.5,0.0,0.0,120.15,0.0,0.0,-114.0,113.5,107.0,0.0,0.0,0.0,3.141592653589793,0.0,3.141592653589793,1
Schneider_Electric_LXMRL07S0000.py,Schneider_Electric_LXMRL07S0000,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,360.0,303.529,0.0,0.0,120.15,0.0,0.0,-115.013,113.5,107.0,0.0,0.0,0.0,3.141592653589793,0.0,3.141592653589793,1
Schneider_Electric_LXMRL12S0000.py,Schneider_Electric_LXMRL12S0000,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,595.0,571.5,0.0,0.0,142.65,0.0,0.0,-131.5,115.0,103.5,0.0,0.0,0.0,3.141592653589793,0.0,3.141592653589793,1
Schneider_Electric_LXMRL18S0000.py,Schneider_Electric_LXMRL18S0000,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,510.0,400.0,0.0,0.0,142.65,0.0,0.0,-154.0,115.0,103.5,0.0,0.0,0.0,3.141592653589793,0.0,3.141592653589793,1
Siasun_GCR10_1300.py,Siasun_GCR10_1300,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,608.0,566.0,0.0,0.0,165.0,0.0,0.0,164.0,126.0,113.0,3.141592653589793,1.5707963267948966,0.0,-1.5707963267948966,0.0,3.141592653589793,1
Siasun_GCR14_1400.py,Siasun_GCR14_1400,0.0,1.5707963267948966,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.0,0.0,650.0,612.5,0.0,0.0,160.5,0.0,0.0,146.5,137.5,116.7,3.141592653589793,1.5707963267948966,0.0,-1.5707963267948966,0.0,3.141592653589793,1
